Código da loja,Nome da empresa,Endereço,Etiquetas,Pesquisa Google - Dispositivos móveis,Pesquisa Google - Computadores,Google Maps - Dispositivos móveis,Google Maps - Computadores,Chamadas,Mensagens,Agendamentos,Orientações,Cliques no website,Pedidos de comida,Cliques no cardápio,Reservas em hotéis
,,,,Número de pessoas que visualizaram seu Perfil da Empresa na Pesquisa Google usando dispositivos móveis,Número de pessoas que visualizaram seu Perfil da Empresa na Pesquisa Google usando um computador,Número de pessoas que visualizaram seu Perfil da Empresa no Google Maps usando dispositivos móveis,Número de pessoas que visualizaram seu Perfil da Empresa no Google Maps usando um computador,Número de interações com o botão de ligação no seu Perfil da Empresa,Número de conversas iniciadas no seu Perfil da Empresa,Número de reservas feitas no seu Perfil da Empresa,Número de pedidos de rotas feitas no seu Perfil da Empresa,Número de interações com o botão do site no seu Perfil da Empresa,Número de pedidos de comida feitos para retirada ou entrega no seu Perfil da Empresa no Google com um fornecedor do Pedidos com o Google,Número de pedidos de comida feitos para retirada ou entrega no seu Perfil da Empresa no Google com um fornecedor do Pedidos com o Google,Número de interações com o link gratuito para reserva do fornecedor do hotel
,Netcar Multimarcas - Loja 1,"Av. Presidente Vargas, 740 - Centro, Esteio - RS, 93260-048",,4635,1256,5161,261,61,0,0,260,210,0,0,0
,Netcar Multimarcas - Loja 2,"Av. Presidente Vargas, 1106, Esteio - RS, 93260-001",,3967,917,4433,169,16,0,0,140,58,0,0,0
